id,name,producer,nation,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137197,Altair,Altair,Chile,Red,Table,14~15,17~19,SWEET1,ACIDITY4,BODY5,TANNIN4,220000,2014,750
137198,"Altair, Sideral",Altair,Chile,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,110000,2016,750
137199,Baron du Val Red,Baron du Val,France,Red,Table,11~12,15~17,SWEET2,ACIDITY3,BODY2,TANNIN2,0,0,750
137200,Baron du Val White,Baron du Val,France,White,Table,11~12,9~11,SWEET1,ACIDITY3,BODY2,TANNIN1,0,0,750
137201,"Benziger, Cabernet Sauvignon",Benziger,USA,Red,Table,13~14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2003,750
137202,"Calvet, Beaujolais Villages",Calvet,France,Red,Table,12,13~15,SWEET2,ACIDITY4,BODY2,TANNIN2,0,2007,750
137203,"Calvet, Aetos",Calvet,France,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
137204,"Calvet, Bordeaux Red",Calvet,France,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,21000,2011,750
137205,"Calvet, Bordeaux white",Calvet,France,White,Table,11.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,21000,2010,750
137207,"Calvet, Varietals Cabernet Sauvignon",Calvet,France,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,19000,2017,750
137208,"Calvet, Varietals Merlot",Calvet,France,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,19000,2011,750
137209,"Calvet, Reserve Bordeaux white",Calvet,France,White,Table,11.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,28000,2011,750
137210,"Calvet, Premieres Cotes de Bordeaux",Calvet,France,White,Dessert,13,10~12,SWEET2,ACIDITY4,BODY3,TANNIN1,18000,2009,750
137211,"Calvet, Margaux",Calvet,France,Red,Table,12.5,17~19,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
137212,"Calvet, Medoc",Calvet,France,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,32000,2015,750
137214,"Calvet, Saint Emilion",Calvet,France,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,42000,2010,750
137217,Tavernello Rosato Frizzante,Caviro scaForli,Italy,Rose,Table,11,10~12,SWEET3,ACIDITY2,BODY3,TANNIN1,9000,0,750
137218,Tavernello Bianco Fizzante,Caviro scaForli,Italy,White,Table,11,10~12,SWEET3,ACIDITY2,BODY3,TANNIN1,9000,0,750
137222,La Carillon de l'Angelus,Chateau Angelus 1st Grand Cru ClasseA,France,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,250000,2017,750
137224,Chateau Brillette,Chateau Brillette,France,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,85000,2013,750
137225,Le Bailly de Camensac,Chateau Camensac Grand Cru Classe5th Cru,France,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,50000,2006,750
137226,L'oratoire de Chasse Spleen,Chateau Chasse Spleen,France,Red,Table,12.5~13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,50000,2017,750
137230,Chateau de Seguin Cuvee Prestige,Chateau de Seguin,France,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2010,750
137231,Chateau de Seguin,Chateau de Seguin,France,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2010,750
137232,Chateau Durfort Vivens,Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,140000,2017,750
137235,La sirene de Giscours,Chateau Giscours Grand Cru Classe3rd Cru,France,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,80000,2016,750
137237,Chateau Haut Bages Averous,Chateau Lynch Bages Grand Cru Classe5th Cru,France,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,120000,2015,750
137238,La Chapelle de Bages,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN4,90000,2006,750
137241,Chateau Bahans Haut Brion,Chateau HautBrion 1st Grand Cru Classe,France,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN5,270000,2006,750
137242,Chateau La Gurgue,Chateau La Gurgue,France,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,130000,2009,750
137248,Le Petit Mouton de Mouton Rothschild,Chateau Mouton Rothschild 1st Grand Cru Classe,France,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,570000,2015,750
137254,Chateau Tour de Loudenne,Chateau Tour de Loudenne,France,,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2002,750
137255,Chateau Tour de Saint Bonnet,Chateau Tour de Saint Bonnet,France,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,45000,2006,750
137257,"Concha y Toro, Carmin de Peumo",Concha y Toro,Chile,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,450000,2013,750
137258,"Concha y Toro, Frontera Cabernet Sauvignon",Concha y Toro,Chile,Red,Table,11~12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2018,750
